iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
31,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14620,-6.925702960615233e-05,57.109375,-0.0743540689787444,-0.0005968141593538057,2.4577673176442177e-05,1.4753908497445725,0.002154906032974359,0.061067012967267895,0.37524332254029374,0.7470304007396595,1.0,-7.470304007396596e-05,19.052008867263794,0.7044136565971816,10,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
32,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14525,-6.669932825485999e-05,56.73828125,-0.07523133709807606,-0.000500778719087537,2.981720057077302e-05,1.494909313671729,0.002008098722010119,0.05049625790321871,0.2653554416645099,0.7192706600021017,1.0,-7.192706600021017e-05,18.972366094589233,0.7044136565971816,11,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
33,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14516,-6.816200625954665e-05,56.703125,-0.07576348966754534,-3.4813896937863405e-05,3.234432701634325e-05,1.514896927510991,0.0015342199307198884,0.05544919656206142,0.22213573134778178,0.7279429179835942,1.0,-7.279429179835942e-05,19.01934504508972,0.7044136565971816,12,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
34,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14640,-6.956487283838185e-05,57.1875,-0.0761617646153484,-2.4408721210392568e-06,3.577191263112971e-05,1.5235441659178053,0.0015757327799006786,0.055379775761892756,0.3075492037460208,0.7520594112760005,1.0,-7.520594112760007e-05,19.037494897842407,0.7044136565971816,13,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
35,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14537,-7.063422070951132e-05,56.78515625,-0.07735177922461714,-8.715267812891004e-05,3.490121212702693e-05,1.5456415159361703,0.0028877570272079697,0.07284099714265072,0.2738388087866562,0.7143331158249245,1.0,-7.143331158249242e-05,18.870187044143677,0.7044136565971816,14,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
36,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14291,-7.036871817156723e-05,55.82421875,-0.07867872007191182,-0.0005399396483577457,3.2808656656665595e-05,1.5631036630698614,0.001614302879335851,0.06407894948331107,0.32971367452825817,0.7196212247010663,1.0,-7.196212247010662e-05,18.97957181930542,0.7044136565971816,15,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
37,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14061,-6.881923945018733e-05,54.92578125,-0.07931799715494409,-0.00029208418465417397,3.421566751004481e-05,1.580860394765349,0.0020480531377199862,0.0628303511920796,0.415384179830332,0.7561643980437017,1.0,-7.561643980437016e-05,18.810935974121094,0.7044136565971816,16,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
38,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14349,-6.753558359341209e-05,56.05078125,-0.08002302737108298,-0.00021838361848143252,4.255519141744506e-05,1.596518393925258,0.0014387593286218302,0.05914791554511924,0.3016370611531394,0.7469392349335848,1.0,-7.469392349335847e-05,18.952977895736694,0.7044136565971816,17,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
39,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14280,-7.019213407124927e-05,55.78125,-0.08134004883468152,-0.0008749869160303086,4.342209027267277e-05,1.6097354301384517,0.0019090627602449174,0.07459928353949051,0.3766230992972851,0.7348946431201456,1.0,-7.348946431201455e-05,19.042819023132324,0.7044136565971816,18,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
40,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14168,-6.750117724360162e-05,55.34375,-0.08204337363796575,-0.0005226897376052341,4.422558230154599e-05,1.630855906861169,0.0019162967718090165,0.0634043299060847,0.32004666504051005,0.7462353711472335,1.0,-7.462353711472335e-05,19.025037050247192,0.7044136565971816,19,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
41,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14364,-6.49348328060774e-05,56.109375,-0.08271695907626833,-0.00028361966966651195,3.622018228790174e-05,1.6490289551871165,0.0020457933418639536,0.07639348649286798,0.3581094177705901,0.7289543171088871,1.0,-7.289543171088872e-05,19.338561058044434,0.7044136565971816,20,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
