run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed3,0.020885615439537465,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed3.csv,16,32,0.2,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,0.02088620205611258,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3.csv,16,32,0.1,0.01,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed1,0.020886261469178925,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed1.csv,16,32,0.2,0.005,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3,0.020886687190190597,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3.csv,16,32,0.1,0.01,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.02088767264998441,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.01,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,0.02088773542068874,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed3/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed3.csv,16,32,0.2,0.005,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3,0.02088865350654541,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed3.csv,16,32,0.2,0.01,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed3,0.020888824213206175,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed3.csv,16,32,0.1,0.01,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed3,0.02089132423293412,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed3/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.9_seed3.csv,16,32,0.2,0.005,0.999,4320,0.9,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed1,0.020891330223890333,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed1.csv,16,32,0.2,0.005,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed3,0.020892840583059968,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed3.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed3,0.020893235685208785,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed3/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed3.csv,16,32,0.1,0.01,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed3,0.020893605244622745,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed3/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed3.csv,16,32,0.2,0.005,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed3,0.02089407488041527,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.95_seed3.csv,16,32,0.2,0.005,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
